Vehicle ID,Time Spent (s),Timestamp
12,48.13,2025-04-05 04:59:41
12,48.13,2025-04-05 04:59:41
10,58.05,2025-04-05 04:59:41
10,58.05,2025-04-05 04:59:41
6,92.89,2025-04-05 04:59:41
6,92.89,2025-04-05 04:59:41
2,98.23,2025-04-05 04:59:41
2,98.23,2025-04-05 04:59:41
12,49.92,2025-04-05 04:59:43
12,49.92,2025-04-05 04:59:43
10,59.83,2025-04-05 04:59:43
10,59.83,2025-04-05 04:59:43
6,94.67,2025-04-05 04:59:43
6,94.67,2025-04-05 04:59:43
2,100.01,2025-04-05 04:59:43
2,100.01,2025-04-05 04:59:43
12,52.01,2025-04-05 04:59:45
12,52.01,2025-04-05 04:59:45
10,61.92,2025-04-05 04:59:45
10,61.92,2025-04-05 04:59:45
6,96.76,2025-04-05 04:59:45
6,96.76,2025-04-05 04:59:45
2,102.10,2025-04-05 04:59:45
2,102.10,2025-04-05 04:59:45
12,53.76,2025-04-05 04:59:47
12,53.76,2025-04-05 04:59:47
10,63.67,2025-04-05 04:59:47
10,63.67,2025-04-05 04:59:47
6,98.52,2025-04-05 04:59:47
6,98.52,2025-04-05 04:59:47
2,103.85,2025-04-05 04:59:47
2,103.85,2025-04-05 04:59:47
12,55.54,2025-04-05 04:59:48
12,55.54,2025-04-05 04:59:48
10,65.45,2025-04-05 04:59:48
10,65.45,2025-04-05 04:59:48
6,100.29,2025-04-05 04:59:48
6,100.29,2025-04-05 04:59:48
2,105.63,2025-04-05 04:59:48
2,105.63,2025-04-05 04:59:48
12,57.26,2025-04-05 04:59:50
12,57.26,2025-04-05 04:59:50
10,67.18,2025-04-05 04:59:50
10,67.18,2025-04-05 04:59:50
6,102.02,2025-04-05 04:59:50
6,102.02,2025-04-05 04:59:50
2,107.36,2025-04-05 04:59:50
2,107.36,2025-04-05 04:59:50
12,58.98,2025-04-05 04:59:52
12,58.98,2025-04-05 04:59:52
10,68.89,2025-04-05 04:59:52
10,68.89,2025-04-05 04:59:52
6,103.74,2025-04-05 04:59:52
6,103.74,2025-04-05 04:59:52
2,109.07,2025-04-05 04:59:52
2,109.07,2025-04-05 04:59:52
12,60.78,2025-04-05 04:59:54
12,60.78,2025-04-05 04:59:54
10,70.69,2025-04-05 04:59:54
10,70.69,2025-04-05 04:59:54
6,105.54,2025-04-05 04:59:54
6,105.54,2025-04-05 04:59:54
2,110.87,2025-04-05 04:59:54
2,110.87,2025-04-05 04:59:54
12,62.51,2025-04-05 04:59:55
12,62.51,2025-04-05 04:59:55
10,72.42,2025-04-05 04:59:55
10,72.42,2025-04-05 04:59:55
6,107.26,2025-04-05 04:59:55
6,107.26,2025-04-05 04:59:55
2,112.60,2025-04-05 04:59:55
2,112.60,2025-04-05 04:59:55
12,64.23,2025-04-05 04:59:57
12,64.23,2025-04-05 04:59:57
10,74.14,2025-04-05 04:59:57
10,74.14,2025-04-05 04:59:57
6,108.98,2025-04-05 04:59:57
6,108.98,2025-04-05 04:59:57
2,114.32,2025-04-05 04:59:57
2,114.32,2025-04-05 04:59:57
12,65.95,2025-04-05 04:59:59
12,65.95,2025-04-05 04:59:59
10,75.86,2025-04-05 04:59:59
10,75.86,2025-04-05 04:59:59
6,110.70,2025-04-05 04:59:59
6,110.70,2025-04-05 04:59:59
2,116.04,2025-04-05 04:59:59
2,116.04,2025-04-05 04:59:59
